Date,Recorder,Map,Player1,Player2,Player3,Player4,vs,Player5,Player6,Player7,Player8,link
25.02.2023,(Ден),Нет милосердию,Миша,Вадим,Ден,Джун,против,Сеньор,Данил,Ваня,Гриша,https://youtu.be/W3_3tmXNTBc
24.02.2023,(Сеньор),Смерть в воздухе,Миша,Вадим,Ваня,Бот,против,Данил,Сеньор,Ондрей,Гриша,https://youtu.be/b2SE-j1PgFw
24.02.2023,(Миша),Смерть в воздухе,Миша,Вадим,Ваня,Бот,против,Данил,Ондрей,Гриша,Сеньор,https://youtu.be/36_qq8BZePo
19.02.2023,(Данил),жертва,Ден,Вадим,Миша,Юран,против,Гриша,Ваня,Ондрей,Данил,https://youtu.be/ULkD36p14Ro
19.02.2023,(Данил),мрачный карнавал,Ден,Вадим,Миша,Юран,против,Гриша,Ваня,Сеньор,Данил,https://youtu.be/A1tA9H3DErU
19.02.2023,(Гриша),жертва,Юра,Ден,Вадим,Миша,против,Гриша,Данил,Ваня,Ондрей,https://youtu.be/4lFJCzY6ZSA
19.02.2023,(Гриша),Мрачный карнавал,Юра,Ден,Вадим,Миша,против,Гриша,Данил,Ваня,Сеньор,https://youtu.be/GcpbzFTCIaU
19.02.2023,(Ден),жертва,Ден,Миша,Юра,Вадим,против,Сеньор,Гриша,Данил,Ваня,https://youtu.be/rbr9NgrcHTU
19.02.2023,(Ден),Мрачный Карнавал,Миша,Ден,Вадим,Юран,против,Данил,Гриша,Ваня,Сеньор,https://youtu.be/xwTy1YNKpqM
18.02.2023,(Ден),Похоронный звон,Вадим,Миша,Ден,Джун,против,Ваня,Данил,Ондрей,Гриша,https://youtu.be/jdf3EjUNZhc
18.02.2023,(Гриша),Холодный ручей,Сеньор,Ден,Вадим,Миша,против,Гриша,Данил,Ваня,Ондрей,https://youtu.be/EbrFNX5yHzo
18.02.2023,(Гриша),Похоронный звон,Сеньор,Ден,Вадим,Миша,против,Гриша,Данил,Ваня,Ондрей,https://youtu.be/lD_1k2w4YKA
12.02.2023,(Ден),Приход,Данил,Вадим,Марина,Ден,против,Гриша,Ваня,Миша,Бот,https://youtu.be/n2PkDYBkpWo
12.02.2023,(Ден),Нет милосердию,Ондрей,Вадим,Миша,Ден,против,Гриша,Сеньор,Данил,Ваня,https://youtu.be/7mfy1JAyrZs
12.02.2023,(Гриша),Нет Милосердию,Ондрей,Ден,Вадим,Миша,против,Гриша,Данил,Сеньор,Ваня,https://youtu.be/ZZ5GtITbnlw
12.02.2023,(Гриша),Приход,Данил,Ден,Вадим,Марина,против,Гриша,Миша,Ваня,Ондрей,https://youtu.be/2MkkaCYVFMM
11.02.2023,(Миша),Последний рубеж,Ондрей,Ден,Миша,Бот,против,Вадим,Ваня,Сеньор,Бот,https://youtu.be/nhN271lcU8U
11.02.2023,(Ден),Кровавая жатва,Вадим,Миша,Ден,Бот,против,Ондрей,Данил,Сеньор,Ваня,https://youtu.be/NhJx1trvpdI
11.02.2023,(Ден),Ливень,Вадим,Миша,Ден,Бот,против,Сеньор,Ваня,Данил,Бот,https://youtu.be/WqnnFqRavaI
10.02.2023,(Гриша),Вымерший центр,Сеньор,Ден,Данил,Бот,против,Гриша,Вадим,Ваня,Бот,https://youtu.be/nB_jaHM3zAs
10.02.2023,(Гриша),Смерть в Воздухе,Сеньор,Вадим,Ваня,Бот,против,Гриша,Ден,Данил,Бот,https://youtu.be/8sDjJzF0qaQ
10.02.2023,(Ден),Смерть в воздухе,Данил,Ден,Гриша,Бот,против,Вадим,Сеньор,Ваня,Бот,https://youtu.be/f59Nh7zusZc
10.02.2023,(Ден),Вымерший центр,Данил,Ден,Сеньор,Бот,против,Вадим,Ваня,Гриша,Бот,https://youtu.be/lTAvdxj5ycw
05.02.2023,(Гриша),Холодный ручей,Ден,Миша,Ондрей,Бот,против,Гриша,Сеньор,Джун,Бот,https://youtu.be/4feI5KnS5Aw
05.02.2023,(Ден),Холодный ручей,Ден,Миша,Ондрей,Бот,против,Джун,Сеньор,Гриша,Бот,https://youtu.be/1qAv4Xr7YJ0
05.02.2023,(Сеньор),Холодный ручей,Ден,Миша,Ондрей,Бот,против,Джун,Сеньор,Гриша,Бот,https://youtu.be/9JnPU3t2r0c
05.02.2023,(Гриша),Похоронный Звон,Ден,Джун,Ондрей,Бот,против,Миша,Гриша,Сеньор,Бот,https://youtu.be/4IzLR4dlNek
05.02.2023,(Ден),Похоронный звон,Ден,Ондрей,Джун,Бот,против,Сеньор,Миша,Гриша,Бот,https://youtu.be/kZgUepzrqR0
05.02.2023,(Сеньор),Похоронный звон,Ден,Ондрей,Джун,Бот,против,Сеньор,Миша,Гриша,Бот,https://youtu.be/FI29qPD-SZ8
04.02.2023,(Сеньор),Мрачный карнавал,Ден,Джун,Вадим,Марина,против,Миша,Гриша,Сеньор,Ондрей,https://youtu.be/W5WjVNx3wnI
